sbGeneticsConstant::captureDate,sbGeneticsConstant::identification,sbGeneticsConstant::materialTransferAgreement,sbGeneticsConstant::mutantAllele,sbGeneticsConstant::phenotype,sbGeneticsConstant::researcherCommentsGenetics,sbGeneticsConstant::researcherInitials,sbGeneticsConstant::source,sbGeneticsConstant::species,sbGeneticsConstant::transgenes
01/07/2003,stock; Cushman@Hill's rd,,,,Chuck caught these in traps set at Hill's creek road.  A few died in transit and were fixed,,Wild; Cushman Creek,Gasterosteus aculeatus
01/07/2003,stock; Cushman@Mile 4,,,,Chuck caught these at mile 4 on Cushman Creek,,Wild; Cushman Creek,Gasterosteus aculeatus
,Cushman@Hill's rd-Full,,,,This is a subdivision of 264,,Wild; Cushman@Hill's rd,Gasterosteus aculeatus
,Cushman@Hill's rd-Partial,,,,This is a subdivision of collection 264,,Wild; Cushman@Hill's rd,
,Cushman@Hill's rd-Low,,,,This is a subdivision of 264,,Wild; Cushman@Hill's rd,Gasterosteus aculeatus
,Cushman@Mile4-Full,,,,This is a subdivision of collection 265,,Wild; Cushman@Mile 4,Gasterosteus aculeatus
,Cushman@Mile4-Partial,,,,This is a subdivision of 265,,Wild; Cushman@Mile 4,Gasterosteus aculeatus
,Cushman@Mile4-Low,,,,This is a subdivision of 265,,Wild; Cushman@Mile 4,Gasterosteus aculeatus
,Morpholino Injection,,,,,,,Gasterosteus aculeatus



,stock - Siltcoos,,,,"Combination of stocks 63, 111 and 119",,,Gasterosteus aculeatus
06/12/2003,stock - Rabbit Slough,,,,These were fish shipped by Mike Bell on 14June03,,wild;  Rabbit Slough,Gasterosteus aculeatus
06/12/2003,stock - Whale Lake,,,,Sent by Mike Bell on 14June03,,wild;  Whale Lake,Gasterosteus aculeatus
06/12/2003,stock - Mud Lake Pungitius,,,,Shipped by Mike Bell on 14June03,,Wild; Mud Lake,Pungitius pungitius
,stock - Rabbit Slough,,,,"This is a mass cross done by Mike Bell in Alaska
MAB03-1",,,Gasterosteus aculeatus
,stock - Rabbit Slough,,,,Cross for Alcian/Alizarin series,,,Gasterosteus aculeatus
,complementation cross,,,,High Armor Siltcoos Father,,,Gasterosteus aculeatus
,complementation cross,,,,High Armor Siltcoos Father,,,Gasterosteus aculeatus
,GFP threespine,,,,GFP,,,
,stock - Rabbit Slough,,,,,,,

,F3 QTL Back; Boot x Rabbit Slough,,,,,,,Gasterosteus aculeatus
,F3 QTL Back; Boot x Rabbit Slough,,,,,,,Gasterosteus aculeatus



,stock - Boot Lake,,,,,,,Gasterosteus aculeatus
,F3 QTL Back; Boot x Rabbit Slough,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Boot,,,,,,,Gasterosteus aculeatus
,F3 QTL Back; Boot x Rabbit Slough,,,,,,,Gasterosteus aculeatus
,F3 QTL Back; Boot x Rabbit Slough,,,,,,,Gasterosteus aculeatus
,stock-inbreeding; Boot,,,,,,,Gasterosteus aculeatus
,F3 QTL Back; Boot x Rabbit Slough,,,,,,,Gasterosteus aculeatus
,stock - Bear Paw Lake,,,,,,,Gasterosteus aculeatus
,stock - Inbred Boot Lake,,,,,,,Gasterosteus aculeatus
,stock - Bear Paw Lake,,,,,,,Gasterosteus aculeatus
,stock - Bear Paw Lake,,,,,,,Gasterosteus aculeatus
,F3 QTL Back; Boot x Rabbit Slough,,,,,,,Gasterosteus aculeatus
,F3 QTL Back; Boot x Rabbit Slough,,,,,,,Gasterosteus aculeatus
